Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Oct-24
WATERCREST,LOYANG BESAR CLOSE,17,Non-Landed Properties,NA,"4,200",120 to 130,"1,300 to 1,400",Oct-24
THE HORIZON,HOLT ROAD,10,Non-Landed Properties,3,"7,400",160 to 170,"1,700 to 1,800",Oct-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,2,"5,000",60 to 70,700 to 800,Oct-24
SHANGRI-LA RESIDENCES,LADY HILL ROAD,10,Non-Landed Properties,4,"13,108",190 to 200,"2,000 to 2,100",Oct-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,000",70 to 80,700 to 800,Oct-24
38 AMBER,AMBER ROAD,15,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,Oct-24
NON-LANDED HOUSING DEVELOPMENT,TYRWHITT ROAD,08,Non-Landed Properties,NA,"4,500",100 to 110,"1,000 to 1,100",Oct-24
NON-LANDED HOUSING DEVELOPMENT,LORONG 19 GEYLANG,14,Non-Landed Properties,NA,"2,150",80 to 90,800 to 900,Oct-24
THE LEGEND,BUKIT TIMAH ROAD,10,Non-Landed Properties,2,"5,300",130 to 140,"1,400 to 1,500",Oct-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,3,"6,200",100 to 110,"1,100 to 1,200",Oct-24
PARC EMILY,MOUNT EMILY ROAD,09,Non-Landed Properties,3,"6,300",110 to 120,"1,200 to 1,300",Oct-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,300",70 to 80,800 to 900,Oct-24
ELIAS GREEN,ELIAS GREEN,18,Non-Landed Properties,NA,"3,900",140 to 150,"1,500 to 1,600",Oct-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"4,250",50 to 60,600 to 700,Oct-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",Oct-24
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Oct-24
ESTILO,WILKIE ROAD,09,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Oct-24
NON-LANDED HOUSING DEVELOPMENT,BALMORAL ROAD,10,Non-Landed Properties,3,"8,500",160 to 170,"1,700 to 1,800",Oct-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,1,"3,050",30 to 40,400 to 500,Oct-24
TELOK BLANGAH HOUSE,TELOK BLANGAH ROAD,04,Non-Landed Properties,NA,"4,500",160 to 170,"1,700 to 1,800",Oct-24
LATITUDE,JALAN MUTIARA,10,Non-Landed Properties,2,"7,700",120 to 130,"1,300 to 1,400",Oct-24
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Oct-24
ALLSWORTH PARK,HOLLAND ROAD,10,Non-Landed Properties,2,"3,350",90 to 100,"1,000 to 1,100",Oct-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Oct-24
LOTUS AT PAYA LEBAR (EAST WING),PAYA LEBAR ROAD,14,Non-Landed Properties,2,"5,050",70 to 80,800 to 900,Oct-24
THE MERLOT,KENG LEE ROAD,08,Non-Landed Properties,2,"4,300",80 to 90,800 to 900,Oct-24
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,1,"3,050",50 to 60,600 to 700,Oct-24
FLO RESIDENCE,PUNGGOL FIELD WALK,19,Non-Landed Properties,3,"4,200",90 to 100,"1,000 to 1,100",Oct-24
OUE TWIN PEAKS,LEONIE HILL ROAD,09,Non-Landed Properties,1,"4,300",50 to 60,500 to 600,Oct-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Oct-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Oct-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"6,800",110 to 120,"1,100 to 1,200",Oct-24
NINE RESIDENCES,YISHUN AVENUE 9,27,Non-Landed Properties,3,"4,500",80 to 90,"900 to 1,000",Oct-24
ASTORIA PARK,LORONG MYDIN,14,Non-Landed Properties,2,"3,600",80 to 90,800 to 900,Oct-24
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,3,"8,400",100 to 110,"1,100 to 1,200",Oct-24
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"6,700",150 to 160,"1,600 to 1,700",Oct-24
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Oct-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,4,"15,000",200 to 210,"2,200 to 2,300",Oct-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Oct-24
LEGENDA AT JOO CHIAT,JOO CHIAT LANE,15,Non-Landed Properties,2,"4,500",110 to 120,"1,100 to 1,200",Oct-24
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,2,"3,450",80 to 90,"900 to 1,000",Oct-24
THE ESSENCE,CHONG KUO ROAD,26,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,Oct-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Oct-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"4,800",90 to 100,"1,000 to 1,100",Oct-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,3,"5,700",80 to 90,"900 to 1,000",Oct-24
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,1,"4,400",60 to 70,600 to 700,Oct-24
GOLD PALM MANSIONS,LORONG K TELOK KURAU,15,Non-Landed Properties,2,"3,600",90 to 100,"1,000 to 1,100",Oct-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"5,000",70 to 80,800 to 900,Oct-24
LION TOWERS,ESSEX ROAD,11,Non-Landed Properties,NA,"5,500",170 to 180,"1,800 to 1,900",Oct-24
LEONIE CONDOTEL,LEONIE HILL ROAD,09,Non-Landed Properties,4,"11,300",250 to 260,"2,700 to 2,800",Oct-24
CASHEW HEIGHTS CONDOMINIUM,CASHEW ROAD,23,Non-Landed Properties,3,"4,500",150 to 160,"1,600 to 1,700",Oct-24
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,2,"5,200",110 to 120,"1,200 to 1,300",Oct-24
38 I SUITES,IPOH LANE,15,Non-Landed Properties,1,"2,850",40 to 50,500 to 600,Oct-24
MY MANHATTAN,SIMEI STREET 3,18,Non-Landed Properties,2,"4,250",80 to 90,"900 to 1,000",Oct-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"4,500",40 to 50,500 to 600,Oct-24
THE RISE @ OXLEY - RESIDENCES,OXLEY RISE,09,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Oct-24
HYLL ON HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Oct-24
EIGHT COURTYARDS,CANBERRA DRIVE,27,Non-Landed Properties,3,"4,100",100 to 110,"1,000 to 1,100",Oct-24
THE BOUTIQ,KILLINEY ROAD,09,Non-Landed Properties,2,"5,800",80 to 90,"900 to 1,000",Oct-24
D' CASITA,LORONG MARZUKI,14,Non-Landed Properties,1,"2,600",40 to 50,500 to 600,Oct-24
CHANGI COURT,UPPER CHANGI ROAD EAST,16,Non-Landed Properties,3,"3,850",110 to 120,"1,100 to 1,200",Oct-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,350",30 to 40,400 to 500,Oct-24
ENG AUN MANSION,THOMSON ROAD,11,Non-Landed Properties,NA,"4,000",80 to 90,800 to 900,Oct-24
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,2,"3,400",90 to 100,"1,000 to 1,100",Oct-24
THE WATERSIDE,TANJONG RHU ROAD,15,Non-Landed Properties,NA,"7,500",220 to 230,"2,400 to 2,500",Oct-24
PINE GROVE,PINE GROVE,21,Non-Landed Properties,NA,"5,200",180 to 190,"1,900 to 2,000",Oct-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,700",80 to 90,"900 to 1,000",Oct-24
THE AZURE,OCEAN DRIVE,04,Non-Landed Properties,3,"9,400",160 to 170,"1,700 to 1,800",Oct-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Oct-24
LEONIE CONDOTEL,LEONIE HILL ROAD,09,Non-Landed Properties,4,"11,200",250 to 260,"2,700 to 2,800",Oct-24
LA FLEUR,LORONG 26 GEYLANG,14,Non-Landed Properties,1,"2,750",30 to 40,400 to 500,Oct-24
THE TANAMERA,TANAH MERAH KECHIL ROAD,16,Non-Landed Properties,3,"4,200",120 to 130,"1,300 to 1,400",Oct-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"4,150",50 to 60,500 to 600,Oct-24
REGENCY PARK,NATHAN ROAD,10,Non-Landed Properties,3,"7,483",200 to 210,"2,200 to 2,300",Oct-24
CASHEW HEIGHTS CONDOMINIUM,CASHEW ROAD,23,Non-Landed Properties,3,"4,600",150 to 160,"1,600 to 1,700",Oct-24
SPANISH VILLAGE,FARRER ROAD,10,Non-Landed Properties,1,"3,900",70 to 80,700 to 800,Oct-24
CASABELLA,DUCHESS AVENUE,10,Non-Landed Properties,4,"8,500",190 to 200,"2,000 to 2,100",Oct-24
KENTISH COURT,OXFORD ROAD,08,Non-Landed Properties,2,"4,200",100 to 110,"1,100 to 1,200",Oct-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Oct-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"5,900",110 to 120,"1,200 to 1,300",Oct-24
CYAN,KENG CHIN ROAD,10,Non-Landed Properties,2,"5,200",90 to 100,"1,000 to 1,100",Oct-24
ARDMORE PARK,ARDMORE PARK,10,Non-Landed Properties,4,"22,500",260 to 270,"2,800 to 2,900",Oct-24
ROYCE RESIDENCES,LORONG 6 GEYLANG,14,Non-Landed Properties,1,"2,700",30 to 40,300 to 400,Oct-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Oct-24
THE IMPERIAL,JALAN RUMBIA,09,Non-Landed Properties,3,"8,300",130 to 140,"1,400 to 1,500",Oct-24
CITYLIGHTS,JELLICOE ROAD,08,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Oct-24
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Oct-24
REGENCY PARK,NATHAN ROAD,10,Non-Landed Properties,3,"8,400",200 to 210,"2,200 to 2,300",Oct-24
THE PEAK @ CAIRNHILL II,CAIRNHILL CIRCLE,09,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Oct-24
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,2,"3,900",100 to 110,"1,000 to 1,100",Oct-24
STRATUM,ELIAS ROAD,18,Non-Landed Properties,NA,"2,500",40 to 50,400 to 500,Oct-24
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,250",70 to 80,700 to 800,Oct-24
THE COLONNADE,GRANGE ROAD,10,Non-Landed Properties,2,"11,000",260 to 270,"2,800 to 2,900",Oct-24
PANDAN VALLEY,PANDAN VALLEY,21,Non-Landed Properties,3,"5,200",160 to 170,"1,700 to 1,800",Oct-24
Q BAY RESIDENCES,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Oct-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,3,"6,500",80 to 90,"900 to 1,000",Oct-24
THE SANTORINI,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,700",40 to 50,500 to 600,Oct-24
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"4,500",80 to 90,"900 to 1,000",Oct-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"6,600",130 to 140,"1,400 to 1,500",Oct-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Oct-24
LIBERTE,SARKIES ROAD,10,Non-Landed Properties,2,"4,150",70 to 80,700 to 800,Oct-24
OKIO,BALESTIER ROAD,12,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Oct-24
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"5,000",50 to 60,500 to 600,Oct-24
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,NA,"3,500",40 to 50,500 to 600,Oct-24
VIDA,PECK HAY ROAD,09,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Oct-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Oct-24
MAYSPRINGS,PETIR ROAD,23,Non-Landed Properties,2,"3,300",80 to 90,"900 to 1,000",Oct-24
RESIDENCES AT EMERALD HILL,EMERALD HILL ROAD,09,Non-Landed Properties,3,"7,500",150 to 160,"1,600 to 1,700",Oct-24
SEA ESTA,PASIR RIS LINK,18,Non-Landed Properties,2,"3,100",70 to 80,800 to 900,Oct-24
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,23,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Oct-24
PARKSUITES,HOLLAND GROVE ROAD,10,Non-Landed Properties,2,"5,150",70 to 80,700 to 800,Oct-24
PARC SEABREEZE,JOO CHIAT ROAD,15,Non-Landed Properties,3,"7,900",120 to 130,"1,200 to 1,300",Oct-24
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Oct-24
ST THOMAS SUITES,ST. THOMAS WALK,09,Non-Landed Properties,3,"9,000",160 to 170,"1,800 to 1,900",Oct-24
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Oct-24
OUE TWIN PEAKS,LEONIE HILL ROAD,09,Non-Landed Properties,1,"4,500",50 to 60,500 to 600,Oct-24
VIDA,PECK HAY ROAD,09,Non-Landed Properties,2,"4,600",70 to 80,800 to 900,Oct-24
ESTA RUBY,GUILLEMARD ROAD,14,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Oct-24
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"9,000",160 to 170,"1,700 to 1,800",Oct-24
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,2,"5,300",60 to 70,700 to 800,Oct-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,3,"8,700",130 to 140,"1,400 to 1,500",Oct-24
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,19,Non-Landed Properties,2,"3,650",60 to 70,600 to 700,Oct-24
URBAN SUITES,HULLET ROAD,09,Non-Landed Properties,3,"9,300",140 to 150,"1,600 to 1,700",Oct-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"9,800",170 to 180,"1,900 to 2,000",Oct-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,3,"6,500",120 to 130,"1,300 to 1,400",Oct-24
LA FIESTA,SENGKANG SQUARE,19,Non-Landed Properties,3,"4,300",90 to 100,"900 to 1,000",Oct-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"10,500",140 to 150,"1,500 to 1,600",Oct-24
SOPHIA RESIDENCE,SOPHIA ROAD,09,Non-Landed Properties,1,"3,800",50 to 60,600 to 700,Oct-24
EURO-ASIA PARK,WOODLEIGH CLOSE,13,Non-Landed Properties,3,"4,750",130 to 140,"1,400 to 1,500",Oct-24
LLOYD MANSION,LLOYD ROAD,09,Non-Landed Properties,3,"4,800",90 to 100,"1,000 to 1,100",Oct-24
LEONIE CONDOTEL,LEONIE HILL ROAD,09,Non-Landed Properties,5,"14,500",460 to 470,"5,000 to 5,100",Oct-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,NA,"3,500",30 to 40,400 to 500,Oct-24
LA FIESTA,SENGKANG SQUARE,19,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,Oct-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,200",110 to 120,"1,200 to 1,300",Oct-24
CYAN,KENG CHIN ROAD,10,Non-Landed Properties,2,"5,600",90 to 100,"1,000 to 1,100",Oct-24
THE FOLIAGE,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Oct-24
CASA SARINA,LORONG SARINA,14,Non-Landed Properties,3,"4,800",120 to 130,"1,300 to 1,400",Oct-24
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"15,000",230 to 240,"2,500 to 2,600",Oct-24
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"6,800",100 to 110,"1,100 to 1,200",Oct-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,3,"6,300",100 to 110,"1,100 to 1,200",Oct-24
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"4,800",50 to 60,500 to 600,Oct-24
TRE RESIDENCES,GEYLANG EAST AVENUE 1,14,Non-Landed Properties,2,"3,300",50 to 60,500 to 600,Oct-24
MODENA,SIMEI STREET 4,18,Non-Landed Properties,3,"4,800",130 to 140,"1,400 to 1,500",Oct-24
STURDEE RESIDENCES,BEATTY ROAD,08,Non-Landed Properties,4,"7,500",120 to 130,"1,300 to 1,400",Oct-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"4,300",40 to 50,500 to 600,Oct-24
THE SKYWOODS,DAIRY FARM HEIGHTS,23,Non-Landed Properties,3,"4,100",80 to 90,800 to 900,Oct-24
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Oct-24
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,3,"6,300",130 to 140,"1,400 to 1,500",Oct-24
NON-LANDED HOUSING DEVELOPMENT,TANGLIN ROAD,10,Non-Landed Properties,NA,"2,551",40 to 50,500 to 600,Oct-24
URBAN RESIDENCES,LORONG AH SOO,19,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Oct-24
DOMAIN 21,DELTA ROAD,03,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",Oct-24
SMART SUITES,SIMS AVENUE,14,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Oct-24
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,10,Non-Landed Properties,2,"6,500",60 to 70,600 to 700,Oct-24
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,04,Non-Landed Properties,NA,"4,150",40 to 50,400 to 500,Oct-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Oct-24
LUCKY PLAZA APARTMENTS,ORCHARD ROAD,09,Non-Landed Properties,2,"5,000",70 to 80,800 to 900,Oct-24
THE CAPE,AMBER ROAD,15,Non-Landed Properties,3,"7,300",120 to 130,"1,300 to 1,400",Oct-24
ORANGE GROVE RESIDENCES,ORANGE GROVE ROAD,10,Non-Landed Properties,4,"10,300",220 to 230,"2,300 to 2,400",Oct-24
THE SORRENTO,WEST COAST ROAD,05,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Oct-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Oct-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,900",80 to 90,"900 to 1,000",Oct-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,500",80 to 90,800 to 900,Oct-24
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,3,"3,250",70 to 80,700 to 800,Oct-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,5,"25,000",450 to 460,"4,900 to 5,000",Oct-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Oct-24
8 @ MOUNT SOPHIA,MOUNT SOPHIA,09,Non-Landed Properties,3,"6,400",140 to 150,"1,500 to 1,600",Oct-24
MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-Landed Properties,2,"3,500",90 to 100,"900 to 1,000",Oct-24
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,2,"5,800",80 to 90,800 to 900,Oct-24
PARC CENTROS,PUNGGOL CENTRAL,19,Non-Landed Properties,2,"3,650",70 to 80,700 to 800,Oct-24
OUE TWIN PEAKS,LEONIE HILL ROAD,09,Non-Landed Properties,1,"4,600",50 to 60,500 to 600,Oct-24
MARTIN PLACE RESIDENCES,MARTIN PLACE,09,Non-Landed Properties,3,"10,000",160 to 170,"1,700 to 1,800",Oct-24
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,2,"3,100",80 to 90,"900 to 1,000",Oct-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"5,800",100 to 110,"1,000 to 1,100",Oct-24
RIO VISTA,UPPER SERANGOON VIEW,19,Non-Landed Properties,2,"3,400",90 to 100,"1,000 to 1,100",Oct-24
WATERBANK AT DAKOTA,DAKOTA CRESCENT,14,Non-Landed Properties,3,"6,100",110 to 120,"1,100 to 1,200",Oct-24
PARC OLYMPIA,FLORA DRIVE,17,Non-Landed Properties,1,"2,450",60 to 70,600 to 700,Oct-24
D'MIRA,BOON TECK ROAD,12,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Oct-24
1919,SOPHIA ROAD,09,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Oct-24
PARC CENTROS,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"2,968",40 to 50,400 to 500,Oct-24
SIMSVILLE,GEYLANG EAST AVENUE 2,14,Non-Landed Properties,2,"2,300",90 to 100,"900 to 1,000",Oct-24
PARADISE PALMS,DUNMAN ROAD,15,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Oct-24
THE MAKENA,MEYER ROAD,15,Non-Landed Properties,3,"7,000",160 to 170,"1,700 to 1,800",Oct-24
PINE GROVE,PINE GROVE,21,Non-Landed Properties,NA,"4,900",130 to 140,"1,400 to 1,500",Oct-24
SUNSHINE PLAZA,PRINSEP LINK,07,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Oct-24
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,2,"4,250",50 to 60,600 to 700,Oct-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,3,"6,200",80 to 90,800 to 900,Oct-24
CLOVER BY THE PARK,BISHAN STREET 25,20,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Oct-24
SILVERSEA,MARINE PARADE ROAD,15,Non-Landed Properties,3,"9,000",150 to 160,"1,600 to 1,700",Oct-24
GRANGE RESIDENCES,GRANGE ROAD,10,Non-Landed Properties,4,"16,500",240 to 250,"2,600 to 2,700",Oct-24
D' CASTILIA,JOO CHIAT LANE,15,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Oct-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,1,"2,600",50 to 60,600 to 700,Oct-24
SIGLAP CENTRE,SIGLAP ROAD,15,Non-Landed Properties,NA,"4,400",150 to 160,"1,600 to 1,700",Oct-24
COTE D'AZUR,MARINE PARADE ROAD,15,Non-Landed Properties,3,"7,000",120 to 130,"1,300 to 1,400",Oct-24
HYLL ON HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Oct-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,3,"3,500",80 to 90,800 to 900,Oct-24
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,300",60 to 70,700 to 800,Oct-24
NON-LANDED HOUSING DEVELOPMENT,HORNE ROAD,08,Non-Landed Properties,NA,"4,250",80 to 90,"900 to 1,000",Oct-24
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,3,"3,900",90 to 100,"900 to 1,000",Oct-24
PINE GROVE,PINE GROVE,21,Non-Landed Properties,NA,"5,500",160 to 170,"1,700 to 1,800",Oct-24
ONE CLAYMORE,CLAYMORE DRIVE,09,Non-Landed Properties,NA,"5,000",180 to 190,"1,900 to 2,000",Oct-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Oct-24
# 1 LOFT,LORONG 24 GEYLANG,14,Non-Landed Properties,3,"4,800",120 to 130,"1,300 to 1,400",Oct-24
EWART PARK,EWART PARK,10,Non-Landed Properties,NA,"8,500",160 to 170,"1,800 to 1,900",Oct-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Oct-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,400",60 to 70,700 to 800,Oct-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Oct-24
THE VERTE,LORONG H TELOK KURAU,15,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Oct-24
1953,TESSENSOHN ROAD,08,Non-Landed Properties,1,"3,450",50 to 60,600 to 700,Oct-24
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"3,700",60 to 70,700 to 800,Oct-24
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-Landed Properties,4,"8,200",120 to 130,"1,300 to 1,400",Oct-24
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Oct-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Oct-24
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",Oct-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"4,200",50 to 60,600 to 700,Oct-24
CRADELS,LORONG LIMAU,12,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Oct-24
HILLCREST ARCADIA,ARCADIA ROAD,11,Non-Landed Properties,3,"4,500",150 to 160,"1,700 to 1,800",Oct-24
THE HILLIER,HILLVIEW RISE,23,Non-Landed Properties,1,"3,200",50 to 60,600 to 700,Oct-24
LE HILL CONDOMINIUM,PASIR PANJANG HILL,05,Non-Landed Properties,2,"4,000",90 to 100,"900 to 1,000",Oct-24
THE WATER EDGE,LORONG 38 GEYLANG,14,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Oct-24
BALLOTA PARK CONDOMINIUM,MARIAM WAY,17,Non-Landed Properties,3,"4,000",130 to 140,"1,400 to 1,500",Oct-24
